feature,weight,overall_avg_total_time,case_1_avg_total_time,case_2_avg_total_time,case_3_avg_total_time,case_4_avg_total_time,best_so_far_avg_total_time,weights_json
waiting,-10.0,60.585,57.8,57.47,65.96,61.11,60.585,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": -10.0}"
waiting,-9.75,60.585,57.8,57.47,65.96,61.11,60.585,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": -9.75}"
waiting,-9.5,60.5875,57.8,57.47,65.96,61.12,60.585,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": -9.5}"
waiting,-9.25,60.5875,57.8,57.47,65.96,61.12,60.585,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": -9.25}"
waiting,-9.0,60.575,57.76,57.46,65.96,61.12,60.575,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": -9.0}"
waiting,-8.75,60.575,57.76,57.46,65.96,61.12,60.575,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": -8.75}"
waiting,-8.5,60.575,57.76,57.46,65.96,61.12,60.575,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": -8.5}"
waiting,-8.25,60.575,57.76,57.46,65.96,61.12,60.575,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": -8.25}"
waiting,-8.0,60.575,57.74,57.44,65.96,61.16,60.575,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": -8.0}"
waiting,-7.75,60.575,57.74,57.44,65.96,61.16,60.575,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": -7.75}"
