run_index,scenario_seed,scenario_case_id,scenario_case_name,scenario_case_label,scenario_split,dominant_approach,dominant_approach_count,dominant_exit,dominant_exit_count,early_departures,total_agvs,north_agvs,south_agvs,west_agvs,east_agvs,spawn_plan_json,goal_plan_json
0,40000,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""S_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""S_EXIT"", ""E_EXIT"", ""E_EXIT""]}"
1,40001,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""N_EXIT"", ""W_EXIT"", ""W_EXIT""], ""NORTH"": [""W_EXIT"", ""W_EXIT"", ""S_EXIT"", ""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""E_EXIT"", ""N_EXIT"", ""E_EXIT"", ""E_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""N_EXIT"", ""S_EXIT""]}"
2,40002,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""S_EXIT"", ""N_EXIT"", ""S_EXIT""], ""NORTH"": [""W_EXIT"", ""S_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""W_EXIT"", ""E_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""E_EXIT"", ""S_EXIT"", ""E_EXIT"", ""S_EXIT"", ""N_EXIT""]}"
3,40003,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""W_EXIT"", ""E_EXIT"", ""S_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""E_EXIT"", ""E_EXIT"", ""S_EXIT"", ""E_EXIT""]}"
4,40004,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT"", ""S_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""E_EXIT"", ""N_EXIT"", ""E_EXIT"", ""W_EXIT"", ""W_EXIT""], ""WEST"": [""S_EXIT"", ""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""E_EXIT""]}"
5,40005,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""N_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""E_EXIT"", ""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""W_EXIT"", ""E_EXIT"", ""W_EXIT"", ""W_EXIT""], ""WEST"": [""E_EXIT"", ""N_EXIT"", ""S_EXIT"", ""N_EXIT"", ""E_EXIT""]}"
6,40006,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""S_EXIT"", ""N_EXIT"", ""S_EXIT""], ""NORTH"": [""W_EXIT"", ""E_EXIT"", ""W_EXIT"", ""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""E_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""E_EXIT"", ""N_EXIT"", ""N_EXIT"", ""S_EXIT"", ""E_EXIT""]}"
7,40007,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""S_EXIT"", ""N_EXIT"", ""S_EXIT"", ""N_EXIT"", ""S_EXIT""], ""NORTH"": [""W_EXIT"", ""E_EXIT"", ""S_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""E_EXIT"", ""N_EXIT"", ""E_EXIT""]}"
8,40008,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""N_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""N_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""N_EXIT"", ""E_EXIT"", ""S_EXIT""]}"
9,40009,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""S_EXIT"", ""N_EXIT"", ""W_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""S_EXIT"", ""E_EXIT"", ""W_EXIT"", ""W_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""S_EXIT"", ""E_EXIT"", ""S_EXIT""]}"
