run_index,scenario_seed,allocation_json,spawn_plan_json,goal_plan_json,fcfs_total_time,fixed_heuristic_total_time,bo_heuristic_total_time,best_policy,best_total_time,second_best_total_time,margin_to_second,is_tie
0,30000,"{""EAST"": 5, ""NORTH"": 2, ""SOUTH"": 5, ""WEST"": 4}","{""EAST"": [1, 1, 1, 4, 8], ""NORTH"": [4, 8], ""SOUTH"": [0, 0, 2, 4, 8], ""WEST"": [0, 6, 7, 8]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""E_EXIT"", ""N_EXIT"", ""N_EXIT"", ""E_EXIT""]}",56,55,54,bo_heuristic,54,55,1,False
1,30001,"{""EAST"": 5, ""NORTH"": 4, ""SOUTH"": 4, ""WEST"": 3}","{""EAST"": [0, 3, 6, 7, 8], ""NORTH"": [2, 3, 4, 5], ""SOUTH"": [0, 3, 4, 7], ""WEST"": [0, 8, 8]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""N_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""E_EXIT"", ""E_EXIT""]}",51,52,48,bo_heuristic,48,51,3,False
2,30002,"{""EAST"": 4, ""NORTH"": 4, ""SOUTH"": 5, ""WEST"": 3}","{""EAST"": [0, 2, 5, 8], ""NORTH"": [1, 4, 6, 6], ""SOUTH"": [0, 0, 1, 2, 4], ""WEST"": [2, 2, 6]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""W_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""S_EXIT"", ""S_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""N_EXIT"", ""S_EXIT""]}",61,56,56,"fixed_heuristic,bo_heuristic",56,56,0,True
3,30003,"{""EAST"": 4, ""NORTH"": 4, ""SOUTH"": 3, ""WEST"": 5}","{""EAST"": [3, 3, 5, 5], ""NORTH"": [0, 1, 4, 5], ""SOUTH"": [5, 8, 8], ""WEST"": [4, 5, 6, 7, 7]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT""]}",60,56,56,"fixed_heuristic,bo_heuristic",56,56,0,True
4,30004,"{""EAST"": 3, ""NORTH"": 6, ""SOUTH"": 3, ""WEST"": 4}","{""EAST"": [1, 3, 7], ""NORTH"": [1, 4, 4, 4, 7, 7], ""SOUTH"": [0, 5, 8], ""WEST"": [1, 2, 4, 5]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""WEST"": [""E_EXIT"", ""S_EXIT"", ""E_EXIT"", ""S_EXIT""]}",59,58,58,"fixed_heuristic,bo_heuristic",58,58,0,True
5,30005,"{""EAST"": 4, ""NORTH"": 5, ""SOUTH"": 3, ""WEST"": 4}","{""EAST"": [1, 4, 5, 5], ""NORTH"": [0, 1, 2, 6, 7], ""SOUTH"": [1, 1, 7], ""WEST"": [1, 5, 5, 7]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""S_EXIT"", ""S_EXIT""]}",49,43,43,"fixed_heuristic,bo_heuristic",43,43,0,True
6,30006,"{""EAST"": 3, ""NORTH"": 4, ""SOUTH"": 4, ""WEST"": 5}","{""EAST"": [2, 3, 7], ""NORTH"": [0, 1, 6, 7], ""SOUTH"": [3, 3, 8, 8], ""WEST"": [1, 3, 6, 7, 8]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT""], ""SOUTH"": [""E_EXIT"", ""N_EXIT"", ""N_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""N_EXIT"", ""S_EXIT"", ""S_EXIT""]}",45,45,43,bo_heuristic,43,45,2,False
7,30007,"{""EAST"": 3, ""NORTH"": 4, ""SOUTH"": 6, ""WEST"": 3}","{""EAST"": [3, 8, 8], ""NORTH"": [2, 3, 5, 6], ""SOUTH"": [3, 3, 4, 6, 8, 8], ""WEST"": [0, 4, 8]}","{""EAST"": [""S_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""E_EXIT"", ""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT""]}",66,60,66,fixed_heuristic,60,66,6,False
8,30008,"{""EAST"": 3, ""NORTH"": 4, ""SOUTH"": 5, ""WEST"": 4}","{""EAST"": [3, 5, 6], ""NORTH"": [0, 3, 3, 7], ""SOUTH"": [0, 1, 5, 6, 7], ""WEST"": [0, 4, 7, 8]}","{""EAST"": [""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""E_EXIT"", ""N_EXIT""]}",57,47,47,"fixed_heuristic,bo_heuristic",47,47,0,True
9,30009,"{""EAST"": 5, ""NORTH"": 3, ""SOUTH"": 3, ""WEST"": 5}","{""EAST"": [0, 1, 3, 3, 6], ""NORTH"": [1, 5, 7], ""SOUTH"": [0, 4, 8], ""WEST"": [3, 5, 6, 6, 8]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""W_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""N_EXIT"", ""E_EXIT"", ""S_EXIT""]}",55,49,49,"fixed_heuristic,bo_heuristic",49,49,0,True
