run_index,scenario_seed,total_agvs,north_agvs,south_agvs,west_agvs,east_agvs,spawn_plan_json,goal_plan_json
0,30000,16,2,5,4,5,"{""EAST"": [1, 1, 1, 4, 8], ""NORTH"": [4, 8], ""SOUTH"": [0, 0, 2, 4, 8], ""WEST"": [0, 6, 7, 8]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""E_EXIT"", ""N_EXIT"", ""N_EXIT"", ""E_EXIT""]}"
1,30001,16,4,4,3,5,"{""EAST"": [0, 3, 6, 7, 8], ""NORTH"": [2, 3, 4, 5], ""SOUTH"": [0, 3, 4, 7], ""WEST"": [0, 8, 8]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""N_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""E_EXIT"", ""E_EXIT""]}"
2,30002,16,4,5,3,4,"{""EAST"": [0, 2, 5, 8], ""NORTH"": [1, 4, 6, 6], ""SOUTH"": [0, 0, 1, 2, 4], ""WEST"": [2, 2, 6]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""W_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""S_EXIT"", ""S_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""N_EXIT"", ""S_EXIT""]}"
3,30003,16,4,3,5,4,"{""EAST"": [3, 3, 5, 5], ""NORTH"": [0, 1, 4, 5], ""SOUTH"": [5, 8, 8], ""WEST"": [4, 5, 6, 7, 7]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT""]}"
4,30004,16,6,3,4,3,"{""EAST"": [1, 3, 7], ""NORTH"": [1, 4, 4, 4, 7, 7], ""SOUTH"": [0, 5, 8], ""WEST"": [1, 2, 4, 5]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""WEST"": [""E_EXIT"", ""S_EXIT"", ""E_EXIT"", ""S_EXIT""]}"
5,30005,16,5,3,4,4,"{""EAST"": [1, 4, 5, 5], ""NORTH"": [0, 1, 2, 6, 7], ""SOUTH"": [1, 1, 7], ""WEST"": [1, 5, 5, 7]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""S_EXIT"", ""S_EXIT""]}"
6,30006,16,4,4,5,3,"{""EAST"": [2, 3, 7], ""NORTH"": [0, 1, 6, 7], ""SOUTH"": [3, 3, 8, 8], ""WEST"": [1, 3, 6, 7, 8]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT""], ""SOUTH"": [""E_EXIT"", ""N_EXIT"", ""N_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""N_EXIT"", ""S_EXIT"", ""S_EXIT""]}"
7,30007,16,4,6,3,3,"{""EAST"": [3, 8, 8], ""NORTH"": [2, 3, 5, 6], ""SOUTH"": [3, 3, 4, 6, 8, 8], ""WEST"": [0, 4, 8]}","{""EAST"": [""S_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""E_EXIT"", ""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT""]}"
8,30008,16,4,5,4,3,"{""EAST"": [3, 5, 6], ""NORTH"": [0, 3, 3, 7], ""SOUTH"": [0, 1, 5, 6, 7], ""WEST"": [0, 4, 7, 8]}","{""EAST"": [""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""E_EXIT"", ""N_EXIT""]}"
9,30009,16,3,3,5,5,"{""EAST"": [0, 1, 3, 3, 6], ""NORTH"": [1, 5, 7], ""SOUTH"": [0, 4, 8], ""WEST"": [3, 5, 6, 6, 8]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""W_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""N_EXIT"", ""E_EXIT"", ""S_EXIT""]}"
