candidate_index,source,objective_avg_total_time,best_so_far_avg_total_time,weights_json,waiting,maneuver,exit_competition,path_conflict,approach_queue
0,manual_ahp_anchor,50.31,50.31,"{""approach_queue"": 0.7, ""exit_competition"": 1.2, ""maneuver"": 0.8, ""path_conflict"": 1.5, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.0}",1.0,0.8,1.2,1.5,0.7
1,one_factor_waiting,51.06,50.31,"{""approach_queue"": 0.7, ""exit_competition"": 1.2, ""maneuver"": 0.8, ""path_conflict"": 1.5, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 0.6}",0.6,0.8,1.2,1.5,0.7
2,one_factor_waiting,50.21,50.21,"{""approach_queue"": 0.7, ""exit_competition"": 1.2, ""maneuver"": 0.8, ""path_conflict"": 1.5, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.4}",1.4,0.8,1.2,1.5,0.7
3,one_factor_waiting,50.14,50.14,"{""approach_queue"": 0.7, ""exit_competition"": 1.2, ""maneuver"": 0.8, ""path_conflict"": 1.5, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.8}",1.8,0.8,1.2,1.5,0.7
4,one_factor_maneuver,50.07,50.07,"{""approach_queue"": 0.7, ""exit_competition"": 1.2, ""maneuver"": 0.2, ""path_conflict"": 1.5, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.0}",1.0,0.2,1.2,1.5,0.7
5,one_factor_maneuver,50.79,50.07,"{""approach_queue"": 0.7, ""exit_competition"": 1.2, ""maneuver"": 1.1, ""path_conflict"": 1.5, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.0}",1.0,1.1,1.2,1.5,0.7
6,one_factor_maneuver,50.91,50.07,"{""approach_queue"": 0.7, ""exit_competition"": 1.2, ""maneuver"": 1.4, ""path_conflict"": 1.5, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.0}",1.0,1.4,1.2,1.5,0.7
7,one_factor_exit_competition,50.28,50.07,"{""approach_queue"": 0.7, ""exit_competition"": 0.8, ""maneuver"": 0.8, ""path_conflict"": 1.5, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.0}",1.0,0.8,0.8,1.5,0.7
8,one_factor_exit_competition,50.31,50.07,"{""approach_queue"": 0.7, ""exit_competition"": 1.6, ""maneuver"": 0.8, ""path_conflict"": 1.5, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.0}",1.0,0.8,1.6,1.5,0.7
9,one_factor_exit_competition,50.31,50.07,"{""approach_queue"": 0.7, ""exit_competition"": 2.0, ""maneuver"": 0.8, ""path_conflict"": 1.5, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.0}",1.0,0.8,2.0,1.5,0.7
