run_index,scenario_seed,policy,total_agvs,north_agvs,south_agvs,west_agvs,east_agvs,shared_area_capacity,completed,total_time,spawn_plan_json,goal_plan_json
0,30000,fcfs,16,2,5,4,5,2,16,56,"{""EAST"": [1, 1, 1, 4, 8], ""NORTH"": [4, 8], ""SOUTH"": [0, 0, 2, 4, 8], ""WEST"": [0, 6, 7, 8]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""E_EXIT"", ""N_EXIT"", ""N_EXIT"", ""E_EXIT""]}"
0,30000,fixed_heuristic,16,2,5,4,5,2,16,55,"{""EAST"": [1, 1, 1, 4, 8], ""NORTH"": [4, 8], ""SOUTH"": [0, 0, 2, 4, 8], ""WEST"": [0, 6, 7, 8]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""E_EXIT"", ""N_EXIT"", ""N_EXIT"", ""E_EXIT""]}"
0,30000,bo_heuristic,16,2,5,4,5,2,16,54,"{""EAST"": [1, 1, 1, 4, 8], ""NORTH"": [4, 8], ""SOUTH"": [0, 0, 2, 4, 8], ""WEST"": [0, 6, 7, 8]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""E_EXIT"", ""N_EXIT"", ""N_EXIT"", ""E_EXIT""]}"
1,30001,fcfs,16,4,4,3,5,2,16,51,"{""EAST"": [0, 3, 6, 7, 8], ""NORTH"": [2, 3, 4, 5], ""SOUTH"": [0, 3, 4, 7], ""WEST"": [0, 8, 8]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""N_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""E_EXIT"", ""E_EXIT""]}"
1,30001,fixed_heuristic,16,4,4,3,5,2,16,52,"{""EAST"": [0, 3, 6, 7, 8], ""NORTH"": [2, 3, 4, 5], ""SOUTH"": [0, 3, 4, 7], ""WEST"": [0, 8, 8]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""N_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""E_EXIT"", ""E_EXIT""]}"
1,30001,bo_heuristic,16,4,4,3,5,2,16,48,"{""EAST"": [0, 3, 6, 7, 8], ""NORTH"": [2, 3, 4, 5], ""SOUTH"": [0, 3, 4, 7], ""WEST"": [0, 8, 8]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""N_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""E_EXIT"", ""E_EXIT""]}"
2,30002,fcfs,16,4,5,3,4,2,16,61,"{""EAST"": [0, 2, 5, 8], ""NORTH"": [1, 4, 6, 6], ""SOUTH"": [0, 0, 1, 2, 4], ""WEST"": [2, 2, 6]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""W_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""S_EXIT"", ""S_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""N_EXIT"", ""S_EXIT""]}"
2,30002,fixed_heuristic,16,4,5,3,4,2,16,56,"{""EAST"": [0, 2, 5, 8], ""NORTH"": [1, 4, 6, 6], ""SOUTH"": [0, 0, 1, 2, 4], ""WEST"": [2, 2, 6]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""W_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""S_EXIT"", ""S_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""N_EXIT"", ""S_EXIT""]}"
2,30002,bo_heuristic,16,4,5,3,4,2,16,56,"{""EAST"": [0, 2, 5, 8], ""NORTH"": [1, 4, 6, 6], ""SOUTH"": [0, 0, 1, 2, 4], ""WEST"": [2, 2, 6]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""W_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""S_EXIT"", ""S_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""N_EXIT"", ""S_EXIT""]}"
3,30003,fcfs,16,4,3,5,4,2,16,60,"{""EAST"": [3, 3, 5, 5], ""NORTH"": [0, 1, 4, 5], ""SOUTH"": [5, 8, 8], ""WEST"": [4, 5, 6, 7, 7]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT""]}"
