run_index,scenario_seed,fcfs_total_time,fixed_heuristic_total_time,bo_heuristic_total_time,best_policy,num_best_policies,fixed_minus_fcfs,fixed_improvement_pct_vs_fcfs,bo_minus_fcfs,bo_improvement_pct_vs_fcfs,bo_minus_fixed,bo_improvement_pct_vs_fixed
0,30000,56,55,54,bo_heuristic,1,-1,1.7857142857142856,-2,3.571428571428571,-1,1.8181818181818181
1,30001,51,52,48,bo_heuristic,1,1,-1.9607843137254901,-3,5.88235294117647,-4,7.6923076923076925
2,30002,61,56,56,"fixed_heuristic,bo_heuristic",2,-5,8.19672131147541,-5,8.19672131147541,0,0.0
3,30003,60,56,56,"fixed_heuristic,bo_heuristic",2,-4,6.666666666666667,-4,6.666666666666667,0,0.0
4,30004,59,58,58,"fixed_heuristic,bo_heuristic",2,-1,1.694915254237288,-1,1.694915254237288,0,0.0
5,30005,49,43,43,"fixed_heuristic,bo_heuristic",2,-6,12.244897959183673,-6,12.244897959183673,0,0.0
6,30006,45,45,43,bo_heuristic,1,0,0.0,-2,4.444444444444445,-2,4.444444444444445
7,30007,66,60,66,fixed_heuristic,1,-6,9.090909090909092,0,0.0,6,-10.0
8,30008,57,47,47,"fixed_heuristic,bo_heuristic",2,-10,17.543859649122805,-10,17.543859649122805,0,0.0
9,30009,55,49,49,"fixed_heuristic,bo_heuristic",2,-6,10.909090909090908,-6,10.909090909090908,0,0.0
10,30010,50,46,46,"fixed_heuristic,bo_heuristic",2,-4,8.0,-4,8.0,0,0.0
11,30011,54,45,47,fixed_heuristic,1,-9,16.666666666666664,-7,12.962962962962962,2,-4.444444444444445
12,30012,66,57,57,"fixed_heuristic,bo_heuristic",2,-9,13.636363636363635,-9,13.636363636363635,0,0.0
13,30013,58,52,52,"fixed_heuristic,bo_heuristic",2,-6,10.344827586206897,-6,10.344827586206897,0,0.0
14,30014,59,51,51,"fixed_heuristic,bo_heuristic",2,-8,13.559322033898304,-8,13.559322033898304,0,0.0
15,30015,56,48,47,bo_heuristic,1,-8,14.285714285714285,-9,16.071428571428573,-1,2.083333333333333
16,30016,53,50,50,"fixed_heuristic,bo_heuristic",2,-3,5.660377358490567,-3,5.660377358490567,0,0.0
17,30017,55,51,47,bo_heuristic,1,-4,7.2727272727272725,-8,14.545454545454545,-4,7.8431372549019605
18,30018,54,47,45,bo_heuristic,1,-7,12.962962962962962,-9,16.666666666666664,-2,4.25531914893617
19,30019,57,53,56,fixed_heuristic,1,-4,7.017543859649122,-1,1.7543859649122806,3,-5.660377358490567
20,30020,50,52,52,fcfs,1,2,-4.0,2,-4.0,0,0.0
21,30021,63,58,57,bo_heuristic,1,-5,7.936507936507936,-6,9.523809523809524,-1,1.7241379310344827
22,30022,69,59,59,"fixed_heuristic,bo_heuristic",2,-10,14.492753623188406,-10,14.492753623188406,0,0.0
23,30023,47,44,45,fixed_heuristic,1,-3,6.382978723404255,-2,4.25531914893617,1,-2.272727272727273
24,30024,64,55,54,bo_heuristic,1,-9,14.0625,-10,15.625,-1,1.8181818181818181
25,30025,45,43,42,bo_heuristic,1,-2,4.444444444444445,-3,6.666666666666667,-1,2.3255813953488373
26,30026,50,49,49,"fixed_heuristic,bo_heuristic",2,-1,2.0,-1,2.0,0,0.0
