seed,policy_type,num_robots,num_aisles,capacity,arrival_rate,Favg,Fmax,Throughput,BlockingTime,AvgQueueLength,DeadlockCount,TriggerCount,RerouteCount,CollisionAttempts,ForcedRelocationCount,RobotUtilization,AverageTravelDistance,Zone0AvgQueueLength,Zone1AvgQueueLength,Zone2AvgQueueLength,Zone3AvgQueueLength,Zone4AvgQueueLength
0,rule_based,3,6,small,low,38.1764705882353,150.0,34.0,268.0,1.128,0.0,0.0,29.0,139,0,0.82,320.6666666666667,0.164,0.54,0.424,,
0,fsd,3,6,small,low,27.974358974358974,47.0,39.0,9.0,0.096,0.0,4.0,0.0,5,0,0.7473333333333333,370.6666666666667,0.028,0.02,0.048,,
0,rule_based,3,6,small,medium,52.075,256.0,40.0,251.0,8.476,4.0,0.0,30.0,133,4,0.9713333333333334,391.3333333333333,2.86,1.398,4.218,,
0,fsd,3,6,small,medium,87.04545454545455,198.0,44.0,20.0,7.994,0.0,10.0,0.0,10,0,0.974,480.3333333333333,3.164,1.766,3.064,,
0,rule_based,3,6,small,high,49.056603773584904,292.0,53.0,260.0,22.412,0.0,0.0,38.0,131,0,0.9826666666666667,404.6666666666667,1.584,9.782,11.046,,
0,fsd,3,6,small,high,118.11764705882354,312.0,51.0,26.0,21.708,0.0,12.0,0.0,16,0,0.99,486.3333333333333,2.232,11.342,8.134,,
0,rule_based,3,6,large,low,52.60606060606061,258.0,33.0,172.0,2.542,2.0,0.0,20.0,90,2,0.974,426.0,0.9,0.574,1.068,,
0,fsd,3,6,large,low,72.19444444444444,162.0,36.0,11.0,2.846,0.0,5.0,0.0,8,0,0.976,484.3333333333333,0.824,0.76,1.262,,
0,rule_based,3,6,large,medium,45.7037037037037,197.0,27.0,281.0,13.954,0.0,0.0,46.0,141,0,0.982,397.3333333333333,5.688,1.968,6.298,,
0,fsd,3,6,large,medium,112.75757575757575,223.0,33.0,16.0,11.994,0.0,8.0,0.0,10,0,0.984,486.6666666666667,4.18,2.108,5.706,,
0,rule_based,3,6,large,high,35.666666666666664,68.0,15.0,417.0,35.4,0.0,0.0,67.0,266,0,0.99,356.0,3.102,17.952,14.346,,
